21	Brenda	Wiley	BrendaWiley@gmail.com	19795392697		7/1/1965	6/26/2017				76	3		121
22	Angel	Dickenson	AngelDickenson@gmail.com	16828241433		7/17/1979	7/20/2017				61	3		122
23	Paul	Gilliam	PaulGilliam@gmail.com	18327589141		3/16/1986	10/23/2017				78	1		123
24	Cheryl	Gilyard	CherylGilyard@gmail.com	18325561231		7/24/1999	2/19/2012				84	3		124
25	Thomas	Adams	ThomasAdams@gmail.com	18174514295		9/14/1963	6/6/2010				64	4		125
26	Jose	Dixon	JoseDixon@gmail.com	14092819747		8/19/1965	1/11/2011				68	4		126
27	Gary	Schimke	GarySchimke@gmail.com	14329953404		3/30/1989	5/28/2014				42	4		127
28	Anthony	Taylor	AnthonyTaylor@gmail.com	19155059752		5/9/1971	5/16/2013				60	1		128
29	Jorge	Kim	JorgeKim@gmail.com	14326118310		9/22/1994	2/2/2014				30	3		129
30	Johnnie	Mendez	JohnnieMendez@gmail.com	14323692370		1/13/1976	8/2/2016				95	3		130
31	Eric	Trawick	EricTrawick@gmail.com	17139617292		8/12/1987	12/3/2018				33	4		131
32	Helen	Gelston	HelenGelston@gmail.com	18307977840		4/7/1979	7/12/2012				85	3		132
33	James	Jolley	JamesJolley@gmail.com	19157718791		12/28/1979	7/27/2015				42	4		133
34	Bonita	Gullion	BonitaGullion@gmail.com	19562411065		12/8/1972	3/12/2017				40	1		134
35	James	Villarreal	JamesVillarreal@gmail.com	19793556057		11/29/1997	5/30/2018				16	1		135
36	Patty	Hull	PattyHull@gmail.com	18179476924		5/1/1997	6/20/2016				72	3		136
37	Herbert	Casper	HerbertCasper@gmail.com	12815533006		5/15/1992	6/12/2017				66	4		137
38	Lewis	Abrew	LewisAbrew@gmail.com	14309452502		4/27/1972	10/13/2015				37	1		138
39	Marjorie	Scott	MarjorieScott@gmail.com	19035659725		4/16/1992	8/24/2018				88	4		139
40	Jayne	King	JayneKing@gmail.com	15124906611		10/25/1973	1/24/2016				72	3		140
41	Alfred	Albers	AlfredAlbers@gmail.com	18060002752		12/23/1964	9/4/2018				76	1		141
42	Omar	Young	OmarYoung@gmail.com	17137628575		8/24/1977	5/14/2010				64	1		142
43	Patrick	Jefferson	PatrickJefferson@gmail.com	19037871765		12/8/1982	9/14/2016				20	1		143
44	Audrey	Cardona	AudreyCardona@gmail.com	19792851403		11/7/1969	5/31/2015				3	4		144
45	Mae	Selfe	MaeSelfe@gmail.com	18060237632		4/26/1989	12/2/2017				78	4		145
46	Darrell	Garcia	DarrellGarcia@gmail.com	14096238766		8/11/1975	7/30/2019				40	1		146
47	Jennifer	Sharkey	JenniferSharkey@gmail.com	18061711981		7/3/1995	11/16/2012				79	1		147
48	Patricia	Bogle	PatriciaBogle@gmail.com	18178511410		2/12/1973	3/2/2015				10	4		148
49	Eleanor	Necaise	EleanorNecaise@gmail.com	19039602031		9/11/1992	7/9/2013				11	4		149
50	Stephanie	Williams	StephanieWilliams@gmail.com	15122936358		11/2/1984	2/4/2013				25	4		150
51	Duncan	Dragich	DuncanDragich@gmail.com	12542024329		4/11/1978	10/25/2010				81	4		151
52	Sheila	Mccord	SheilaMccord@gmail.com	13255144535		9/23/1998	7/7/2017				76	3		152
53	Eun	Weber	EunWeber@gmail.com	13255048350		12/2/1990	11/16/2010				64	4		153
54	Penny	Murray	PennyMurray@gmail.com	19033170038		9/10/1981	7/27/2016				49	3		154
55	Virginia	Rodriquez	VirginiaRodriquez@gmail.com	18062083979		4/16/1970	6/5/2019				22	4		155
56	Mary	Rance	MaryRance@gmail.com	19790496688		6/16/1977	3/3/2015				10	3		156
57	Rene	Karalis	ReneKaralis@gmail.com	19151199871		1/20/1998	1/2/2016				86	4		157
58	Louise	Bayliff	LouiseBayliff@gmail.com	19794971971		7/16/1965	8/31/2014				90	1		158
59	Nicole	Yoo	NicoleYoo@gmail.com	18329698371		8/29/1964	6/18/2019				6	1		159
60	Wendy	Flye	WendyFlye@gmail.com	19408782203		11/23/1986	5/13/2012				85	4		160
61	Nancy	Wood	NancyWood@gmail.com	15129719473		1/2/1974	12/23/2017				1	3		161
62	Ferne	Carlson	FerneCarlson@gmail.com	14099008315		1/20/1979	8/8/2010				98	1		162
63	Bradford	Seymour	BradfordSeymour@gmail.com	14326513284		12/11/1994	12/3/2018				74	3		163
64	Julie	Rivard	JulieRivard@gmail.com	12108492471		8/20/1969	12/13/2013				90	3		164
65	Margaret	Quarnstrom	MargaretQuarnstrom@gmail.com	18063199333		8/28/1974	2/1/2017				15	1		165
66	Arnold	Holcomb	ArnoldHolcomb@gmail.com	19722034924		8/25/1966	5/30/2011				56	1		166
67	Robert	Stine	RobertStine@gmail.com	14692387618		3/27/1965	6/18/2010				64	1		167
68	Alicia	Ohare	AliciaOhare@gmail.com	17132249858		1/30/1987	6/20/2012				79	4		168
69	Shawn	Hartel	ShawnHartel@gmail.com	19722791078		9/29/1978	10/18/2019				4	1		169
70	Courtney	White	CourtneyWhite@gmail.com	12545017491		7/14/1968	11/27/2017				40	1		170
71	Beatrice	Schaefer	BeatriceSchaefer@gmail.com	19725853063		11/28/1998	6/7/2010				98	1		171
72	Esther	Lee	EstherLee@gmail.com	19030005773		11/18/1988	9/25/2011				21	4		172
73	David	Levey	DavidLevey@gmail.com	19159611355		7/2/1968	7/8/2011				56	1		173
74	John	Harris	JohnHarris@gmail.com	12810524173		9/28/1992	9/7/2012				27	1		174
75	Robert	Brahler	RobertBrahler@gmail.com	19560307347		2/26/1988	10/6/2017				66	1		175
76	Dale	Sykes	DaleSykes@gmail.com	12546968191		1/11/1960	4/21/2017				51	1		176
77	Clayton	Reeves	ClaytonReeves@gmail.com	13619502568		2/13/1980	7/16/2019				66	4		177
78	Tiffani	James	TiffaniJames@gmail.com	18303307152		9/16/1969	1/23/2013				25	4		178
79	Kelley	Jones	KelleyJones@gmail.com	18066593238		10/7/1991	3/27/2013				46	1		179
80	William	Sobieski	WilliamSobieski@gmail.com	12102161311		8/16/1966	2/23/2017				66	4		180
81	Zachary	Vara	ZacharyVara@gmail.com	14326070952		8/14/1999	11/2/2014				57	4		181
82	George	Larsen	GeorgeLarsen@gmail.com	12813384040		3/6/1997	3/30/2016				72	1		182
83	Susana	Walker	SusanaWalker@gmail.com	18175369028		4/24/1960	1/31/2018				88	3		183
84	Lauren	Crump	LaurenCrump@gmail.com	18323714169		11/2/1976	9/14/2015				93	3		184
85	Shelia	Thompson	SheliaThompson@gmail.com	19799000809		10/26/1985	3/5/2015				10	4		185
86	Irene	Matheny	IreneMatheny@gmail.com	17134244689		11/5/1979	5/31/2015				50	4		186
87	Carlos	Mcgeever	CarlosMcgeever@gmail.com	18324974708		9/12/1960	1/12/2012				85	3		187
88	Tracy	Deni	TracyDeni@gmail.com	13613328516		8/15/1997	12/27/2014				90	1		188
89	Alfred	Stehlik	AlfredStehlik@gmail.com	18305821157		11/25/1998	8/19/2014				73	1		189
90	Charlene	Groves	CharleneGroves@gmail.com	18302596252		1/14/1978	8/13/2015				53	4		190
91	Phyllis	Spurgeon	PhyllisSpurgeon@gmail.com	14308106454		4/1/1980	1/24/2012				71	4		191
92	Andrew	Lewis	AndrewLewis@gmail.com	13252941364		1/11/1996	3/2/2015				10	3		192
93	Lee	Gonzalez	LeeGonzalez@gmail.com	14306243593		6/25/1972	8/1/2015				50	4		193
94	Jeffrey	Deems	JeffreyDeems@gmail.com	14305186878		6/29/1984	2/2/2013				52	3		194
95	Ricardo	Bryant	RicardoBryant@gmail.com	14693317197		7/27/1975	7/27/2011				58	4		195
96	Jessica	Johnsen	JessicaJohnsen@gmail.com	19030868442		7/27/1967	5/1/2013				62	1		196
97	Philip	Mcdaniel	PhilipMcdaniel@gmail.com	19150843139		6/18/1968	10/16/2015				3	4		197
98	Elizabeth	Hebert	ElizabethHebert@gmail.com	19721170936		7/22/1968	8/3/2013				11	1		198
99	Wanda	Mathis	WandaMathis@gmail.com	16829303586		8/12/1963	6/21/2011				23	3		199
100	Michael	Magee	MichaelMagee@gmail.com	18323061638		11/20/1960	7/20/2016				15	4		200
